University;scores_overall_rank;scores_teaching_rank;scores_research_rank;scores_citations_rank;scores_industry_income_rank;scores_international_outlook_rank;record_type;member_level;url;nid;location;stats_number_students;stats_student_staff_ratio;stats_pc_intl_students;stats_female_male_ratio;aliases;subjects_offered;closed;unaccredited;disabled
La Trobe University;2710;750;339;153;352;149;master_account;0;/world-university-rankings/la-trobe-university;835;Australia;19.172;28,2;29%;63:37:00;La Trobe University;Politics & International Studies (incl Development Studies),Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Education,General Engineering,Chemistry,Veterinary Science,Other Health,Biological Sciences,Law,Computer Science,Mathematics & Statistics,Accounting & Finance,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Archaeology,Sport Science,Psychology,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Agriculture & Forestry;False;False;False
Loughborough University;2740;412;368;383;429;108;master_account;0;/world-university-rankings/loughborough-university;837;United Kingdom;16.110;13,9;25%;40 : 60;Loughborough University;Law,General Engineering,Other Health,Civil Engineering,Psychology,Physics & Astronomy,Education,Economics & Econometrics,Sport Science,Biological Sciences,Languages, Literature & Linguistics,Geography,Politics & International Studies (incl Development Studies),Architecture,Mechanical & Aerospace Engineering,Business & Management,Chemistry,Accounting & Finance,Sociology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Chemical Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,Mathematics & Statistics,Communication & Media Studies,Computer Science;False;False;False
North Carolina State University;2790;191;230;475;276;545;public;0;/world-university-rankings/north-carolina-state-university;891;United States;31.391;15,9;11%;49:51:00;North Carolina State University;Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology,History, Philosophy & Theology,Biological Sciences,Economics & Econometrics,Computer Science,Veterinary Science,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Accounting & Finance,Art, Performing Arts & Design,Chemistry,Education,Architecture,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences;False;False;False
University of Oulu;2800;541;281;230;528;594;master_account;6;/world-university-rankings/university-oulu;131756;Finland;10.719;20,8;8%;55:45:00;University of Oulu;Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Architecture,Archaeology,Business & Management,Computer Science,History, Philosophy & Theology,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Education,Geography,Biological Sciences,Medicine & Dentistry,Accounting & Finance,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Psychology,Electrical & Electronic Engineering,Other Health;False;False;False
Qatar University;2810;625;332;250;618;31;master_account;0;/world-university-rankings/qatar-university;131534;Qatar;10.081;8,4;36%;77:23:00;Qatar University;Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology,Medicine & Dentistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Electrical & Electronic Engineering,Law,Architecture,History, Philosophy & Theology,Physics & Astronomy,Psychology,Civil Engineering,Geography,Other Health,Sport Science,Education,Languages, Literature & Linguistics,Communication & Media Studies,Economics & Econometrics,General Engineering,Mathematics & Statistics,Accounting & Finance,Chemistry,Business & Management,Art, Performing Arts & Design;False;False;False
RMIT University;2840;449;323;254;366;88;master_account;0;/world-university-rankings/rmit-university;915;Australia;32.574;24;34%;48:52:00;RMIT University RMIT Australia Melbourne;Civil Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Education,Art, Performing Arts & Design,Chemical Engineering,Sociology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Psychology,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics,Business & Management,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Agriculture & Forestry,Geography,General Engineering,Chemistry,Accounting & Finance,Architecture,Sport Science,Law;False;False;False
Simon Fraser University;2880;758;309;229;225;85;master_account;11;/world-university-rankings/simon-fraser-university;709;Canada;27.269;26,8;31%;54:46:00;Simon Fraser University;Computer Science,Chemistry,Other Health,Politics & International Studies (incl Development Studies),Economics & Econometrics,Biological Sciences,Education,Art, Performing Arts & Design,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Communication & Media Studies,Archaeology,Geology, Environmental, Earth & Marine Sciences,Sport Science,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Geography,General Engineering,Law,Languages, Literature & Linguistics,Sociology,Accounting & Finance;False;False;False
South China University of Technology;2890;408;282;255;138;990;master_account;0;/world-university-rankings/south-china-university-technology;128785;China;40.449;12,6;6%;38 : 62;South China University of Technology;Computer Science,Communication & Media Studies,Languages, Literature & Linguistics,Other Health,Chemical Engineering,Economics & Econometrics,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Sport Science,Sociology,Medicine & Dentistry,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Chemistry,Law,General Engineering,Mathematics & Statistics,Accounting & Finance,Biological Sciences;False;False;False
University of Surrey;2940;626;363;155;369;25;master_account;0;/world-university-rankings/university-surrey;806;United Kingdom;14.630;16,3;33%;54:46:00;University of Surrey;Mathematics & Statistics,Law,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemistry,Veterinary Science,Physics & Astronomy,Civil Engineering,Sociology,Languages, Literature & Linguistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Biological Sciences,Sport Science,Chemical Engineering,Computer Science,Accounting & Finance,Business & Management,Psychology,Geology, Environmental, Earth & Marine Sciences,General Engineering,Other Health;False;False;False
Swansea University;2960;839;468;131;599;132;master_account;0;/world-university-rankings/swansea-university;857;United Kingdom;18.505;16,8;21%;47:53:00;Swansea University;Electrical & Electronic Engineering,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sociology,Other Health,Chemical Engineering,Psychology,Computer Science,Communication & Media Studies,Medicine & Dentistry,Sport Science,Politics & International Studies (incl Development Studies),Archaeology,Biological Sciences,Geography,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Physics & Astronomy,Education,General Engineering,Civil Engineering,Accounting & Finance,Law;False;False;False
University of Tasmania;2970;609;276;285;417;118;master_account;0;/world-university-rankings/university-tasmania;808;Australia;16.894;22,5;31%;60:40:00;University of Tasmania;Other Health,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Biological Sciences,Geography,Architecture,Sport Science,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Communication & Media Studies,Education,Civil Engineering,Law,General Engineering,Mathematics & Statistics,Psychology,Medicine & Dentistry,Chemistry,Accounting & Finance;False;False;False
Technical University of Darmstadt;2980;256;158;718;44;476;master_account;0;/world-university-rankings/technical-university-darmstadt;745;Germany;15.882;37;19%;33 : 67;Technical University of Darmstadt Technical University of Darmstadt;General Engineering,Computer Science,Chemistry,Other Health,Physics & Astronomy,Education,Biological Sciences,Psychology,Electrical & Electronic Engineering,Sociology,Architecture,Civil Engineering,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Politics & International Studies (incl Development Studies);False;False;False
Virginia Polytechnic Institute and State University;3000;253;257;349;306;477;public;11;/world-university-rankings/virginia-polytechnic-institute-and-state-university;737;United States;37.225;18,6;13%;44:56:00;Virginia Polytechnic Institute and State University virginia tech virginia;General Engineering,Chemistry,Architecture,Biological Sciences,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Geography,Civil Engineering,Communication & Media Studies,History, Philosophy & Theology,Chemical Engineering,Physics & Astronomy,Medicine & Dentistry,Sport Science,Accounting & Finance,Archaeology,Mechanical & Aerospace Engineering,Psychology,Art, Performing Arts & Design,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,Computer Science,Veterinary Science,Business & Management,Electrical & Electronic Engineering,Education;False;False;False
Dalhousie University;3090;647;427;345;391;134;master_account;11;/world-university-rankings/dalhousie-university;698;Canada;17.314;14,7;27%;54:46:00;Dalhousie University;Physics & Astronomy,Business & Management,Chemistry,Sport Science,Communication & Media Studies,Economics & Econometrics,Mathematics & Statistics,Chemical Engineering,Architecture,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Law,Veterinary Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Other Health,Accounting & Finance,Electrical & Electronic Engineering,History, Philosophy & Theology,Civil Engineering,Medicine & Dentistry,Computer Science,General Engineering,Agriculture & Forestry,Psychology,Biological Sciences,Sociology;False;False;False
Flinders University;3140;733;337;353;406;138;master_account;0;/world-university-rankings/flinders-university;823;Australia;17.422;29,4;33%;66:34:00;Flinders University;History, Philosophy & Theology,Biological Sciences,Law,Medicine & Dentistry,Chemistry,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Sport Science,Education,Art, Performing Arts & Design,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Communication & Media Studies,Economics & Econometrics,Other Health,Mathematics & Statistics,Business & Management,Computer Science,Physics & Astronomy,Psychology,Archaeology,Agriculture & Forestry,Geography,Electrical & Electronic Engineering,Sociology;False;False;False
Hong Kong Baptist University;3190;492;498;390;440;10;master_account;0;/world-university-rankings/hong-kong-baptist-university;748;Hong Kong;7.460;10,2;55%;65:35:00;Hong Kong Baptist University hkbu;Economics & Econometrics,Art, Performing Arts & Design,Mathematics & Statistics,Chemistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies,Geography,Sociology,Biological Sciences,Business & Management,Medicine & Dentistry,Computer Science,Physics & Astronomy,Agriculture & Forestry,Sport Science,History, Philosophy & Theology,Education,Accounting & Finance;False;False;False
Kyushu University;3220;100;161;989;82;835;master_account;0;/world-university-rankings/kyushu-university;131724;Japan;18.220;7,7;13%;28 : 72;Kyushu University;Computer Science,Archaeology,Electrical & Electronic Engineering,Sociology,General Engineering,Medicine & Dentistry,Psychology,Sport Science,Veterinary Science,Business & Management,Architecture,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Chemistry,Accounting & Finance,Geography,Art, Performing Arts & Design,Other Health,Politics & International Studies (incl Development Studies),Civil Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Agriculture & Forestry,Education,Mathematics & Statistics,Chemical Engineering,Law,History, Philosophy & Theology,Physics & Astronomy,Communication & Media Studies,Economics & Econometrics;False;False;False
University of Navarra;3250;441;460;282;275;339;master_account;0;/world-university-rankings/university-navarra;967;Spain;11.969;14,3;26%;54:46:00;University of Navarra;Computer Science,Psychology,Archaeology,Law,General Engineering,Business & Management,Chemistry,Architecture,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Accounting & Finance,Education,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies,Other Health,Biological Sciences,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Economics & Econometrics;False;False;False
University of Otago;3290;442;347;424;459;226;master_account;0;/world-university-rankings/university-otago;682;New Zealand;19.350;20,6;16%;61:39:00;University of Otago;General Engineering,Chemistry,Chemical Engineering,Other Health,Communication & Media Studies,Sport Science,History, Philosophy & Theology,Education,Biological Sciences,Psychology,Geography,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Law,Mathematics & Statistics,Economics & Econometrics,Archaeology,Medicine & Dentistry,Accounting & Finance,Physics & Astronomy,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Languages, Literature & Linguistics,Veterinary Science,Sociology;False;False;False
Sharif University of Technology;3340;337;301;359;193;1241;master_account;0;/world-university-rankings/sharif-university-technology;802;Iran;9.389;21,8;2%;26 : 74;Sharif University of Technology;Business & Management,Chemistry,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,General Engineering,Civil Engineering,History, Philosophy & Theology,Accounting & Finance,Chemical Engineering,Mechanical & Aerospace Engineering;False;False;False
University of South Australia;3350;1007;307;273;85;203;master_account;11;/world-university-rankings/university-south-australia;855;Australia;22.822;30,2;17%;60:40:00;University of South Australia;Mechanical & Aerospace Engineering,General Engineering,Civil Engineering,Architecture,Economics & Econometrics,Sport Science,History, Philosophy & Theology,Art, Performing Arts & Design,Sociology,Law,Accounting & Finance,Business & Management,Other Health,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Computer Science,Electrical & Electronic Engineering,Psychology,Languages, Literature & Linguistics,Mathematics & Statistics,Biological Sciences,Medicine & Dentistry,Education;False;False;False
Southeast University;3360;312;176;596;162;875;master_account;0;/world-university-rankings/southeast-university;589112;China;39.637;12,4;4%;36 : 64;Southeast University;Medicine & Dentistry,Physics & Astronomy,Education,Art, Performing Arts & Design,Civil Engineering,Accounting & Finance,Architecture,Sport Science,Economics & Econometrics,Computer Science,Law,General Engineering,Sociology,Mechanical & Aerospace Engineering,Chemistry,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Other Health,Mathematics & Statistics,History, Philosophy & Theology,Biological Sciences,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences;False;False;False
Stellenbosch University;3370;504;254;399;169;586;master_account;11;/world-university-rankings/stellenbosch-university;732;South Africa;25.140;25,7;7%;56:44:00;Stellenbosch University SU South Africa;Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Chemistry,Business & Management,Computer Science,Sociology,Psychology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Other Health,Geography,Electrical & Electronic Engineering,Sport Science,Accounting & Finance,History, Philosophy & Theology,General Engineering,Mathematics & Statistics,Agriculture & Forestry,Communication & Media Studies,Archaeology,Biological Sciences,Law,Chemical Engineering,Physics & Astronomy,Education;False;False;False
University of Strathclyde;3380;576;335;532;327;101;master_account;0;/world-university-rankings/university-strathclyde;856;United Kingdom;20.400;16,3;25%;51:49:00;University of Strathclyde;History, Philosophy & Theology,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,General Engineering,Communication & Media Studies,Civil Engineering,Sociology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Mathematics & Statistics,Psychology,Sport Science,Education,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Computer Science,Chemical Engineering,Geography,Mechanical & Aerospace Engineering,Chemistry,Law,Architecture,Physics & Astronomy,Accounting & Finance;False;False;False
Tampere University;3400;663;275;304;136;807;master_account;0;/world-university-rankings/tampere-university;670629;Finland;16.236;20,7;7%;55:45:00;Tampere University;Languages, Literature & Linguistics,General Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Law,Other Health,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),Chemistry,Psychology,Architecture,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Computer Science,Sociology,Chemical Engineering,Business & Management;False;False;False
University of Tartu;3410;554;422;184;566;571;master_account;6;/world-university-rankings/university-tartu;859;Estonia;9.694;9;12%;68:32:00;University of Tartu;Computer Science,Geography,Psychology,Other Health,Physics & Astronomy,Economics & Econometrics,Art, Performing Arts & Design,Medicine & Dentistry,Law,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Communication & Media Studies,Archaeology,Chemistry,Languages, Literature & Linguistics,Sport Science,Education,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Accounting & Finance,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Veterinary Science,Sociology;False;False;False
University of Turku;3440;610;353;251;499;726;master_account;6;/world-university-rankings/university-turku;861;Finland;13.528;15,7;6%;63:37:00;University of Turku;Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Civil Engineering,Sociology,History, Philosophy & Theology,Biological Sciences,Law,Chemical Engineering,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Economics & Econometrics,Physics & Astronomy,Accounting & Finance,Computer Science,Communication & Media Studies,Languages, Literature & Linguistics,Chemistry,Business & Management,Archaeology,Geography;False;False;False
United Arab Emirates University;3450;878;364;258;299;136;master_account;11;/world-university-rankings/united-arab-emirates-university;946;United Arab Emirates;8.147;12,6;18%;74:26:00;United Arab Emirates University;Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Chemical Engineering,Biological Sciences,Sociology,Agriculture & Forestry,Other Health,Communication & Media Studies,Archaeology,Veterinary Science,History, Philosophy & Theology,Architecture,Education,Business & Management,Psychology,Law,Mathematics & Statistics,Accounting & Finance,Computer Science,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Civil Engineering,Chemistry,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Economics & Econometrics,Geography;False;False;False
University College Cork;3460;792;430;279;319;295;master_account;0;/world-university-rankings/university-college-cork;775;Ireland;18.567;21,1;16%;59:41:00;University College Cork ucc;Other Health,Civil Engineering,Architecture,Sociology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,Biological Sciences,Languages, Literature & Linguistics,Physics & Astronomy,Economics & Econometrics,Business & Management,Psychology,Mathematics & Statistics,General Engineering,Archaeology,Geography,Medicine & Dentistry,Law,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sport Science,Accounting & Finance,Computer Science,Education,Chemistry,History, Philosophy & Theology,Politics & International Studies (incl Development Studies);False;False;False
Washington State University;3470;394;365;442;230;578;public;0;/world-university-rankings/washington-state-university;814;United States;28.896;18,8;6%;55:45:00;Washington State University;Archaeology,Medicine & Dentistry,Chemical Engineering,Politics & International Studies (incl Development Studies),Other Health,Mathematics & Statistics,Education,Mechanical & Aerospace Engineering,Sport Science,Architecture,Civil Engineering,Geography,General Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Veterinary Science,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Languages, Literature & Linguistics,Agriculture & Forestry,Communication & Media Studies,Business & Management,Computer Science,Physics & Astronomy,Biological Sciences,Sociology;False;False;False
Amirkabir University of Technology;3520;468;385;394;207;1157;master_account;0;/world-university-rankings/amirkabir-university-technology;131497;Iran;9.859;20,2;3%;35 : 65;Amirkabir University of Technology;Computer Science,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Chemistry,General Engineering,Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering;False;False;False
City, University of London;3600;848;446;351;616;38;master_account;0;/world-university-rankings/city-university-london;912;United Kingdom;16.080;19,5;45%;58:42:00;City, University of London;Mechanical & Aerospace Engineering,Economics & Econometrics,Sociology,Languages, Literature & Linguistics,Other Health,General Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Computer Science,Communication & Media Studies,Accounting & Finance,Business & Management,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Psychology,Law,Mathematics & Statistics,Civil Engineering;False;False;False
University of Connecticut;3620;274;465;486;462;492;public;0;/world-university-rankings/university-connecticut;879;United States;28.128;13,1;11%;53:47:00;University of Connecticut;Architecture,Biological Sciences,Law,Medicine & Dentistry,Agriculture & Forestry,Sociology,General Engineering,Communication & Media Studies,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,Other Health,Sport Science,Education,Computer Science,Physics & Astronomy,Psychology,Archaeology,Veterinary Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Chemistry,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Geography,Economics & Econometrics;False;False;False
University of Florence;3660;445;367;352;370;740;master_account;0;/world-university-rankings/university-florence;964;Italy;40.535;24;10%;56:44:00;University of Florence;Archaeology,Chemistry,Business & Management,Medicine & Dentistry,Sport Science,Education,Other Health,Agriculture & Forestry,Law,Civil Engineering,Computer Science,Mathematics & Statistics,Economics & Econometrics,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geography,Architecture,Physics & Astronomy,Psychology,General Engineering,Sociology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,History, Philosophy & Theology,Biological Sciences,Communication & Media Studies,Politics & International Studies (incl Development Studies);False;False;False
Heriot-Watt University;3700;482;395;670;336;52;master_account;0;/world-university-rankings/heriot-watt-university;828;United Kingdom;9.735;18,2;36%;39 : 61;Heriot-Watt University;Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Accounting & Finance,Languages, Literature & Linguistics,Physics & Astronomy,General Engineering,Geography,Computer Science,Business & Management,Electrical & Electronic Engineering,Economics & Econometrics,Biological Sciences,Mechanical & Aerospace Engineering,Chemistry,Mathematics & Statistics,Psychology,Architecture,Sport Science,Agriculture & Forestry;False;False;False
Hokkaido University;3710;123;201;1071;117;876;master_account;0;/world-university-rankings/hokkaido-university;747;Japan;17.659;8,2;10%;29 : 71;Hokkaido University;Business & Management,Electrical & Electronic Engineering,Chemistry,Education,Sport Science,Archaeology,Art, Performing Arts & Design,Psychology,Computer Science,Veterinary Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Architecture,General Engineering,Civil Engineering,Communication & Media Studies,Sociology,Accounting & Finance,Languages, Literature & Linguistics,Law,Medicine & Dentistry,Agriculture & Forestry,Other Health,Economics & Econometrics,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Geography,Biological Sciences,Physics & Astronomy;False;False;False
Illinois Institute of Technology;3730;251;543;606;149;359;private;0;/world-university-rankings/illinois-institute-technology;1028;United States;6.107;12,2;36%;37 : 63;Illinois Institute of Technology;Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Economics & Econometrics,Law,Biological Sciences,Business & Management,Other Health,Politics & International Studies (incl Development Studies),Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Psychology,Accounting & Finance,Mathematics & Statistics,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences,Sociology,Computer Science,Education;False;False;False
Iowa State University;3740;323;361;571;211;929;public;0;/world-university-rankings/iowa-state-university;648;United States;28.591;17,1;8%;46:54:00;Iowa State University;Sport Science,Mechanical & Aerospace Engineering,Medicine & Dentistry,Communication & Media Studies,Agriculture & Forestry,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Sociology,Psychology,Law,Civil Engineering,Politics & International Studies (incl Development Studies),Veterinary Science,Physics & Astronomy,Architecture,Education,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Other Health,Mathematics & Statistics,General Engineering,Business & Management,History, Philosophy & Theology,Biological Sciences,Art, Performing Arts & Design,Chemistry;False;False;False
James Cook University;3750;787;447;330;664;283;master_account;1;/world-university-rankings/james-cook-university;131521;Australia;9.759;17,3;9%;66:34:00;James Cook University;History, Philosophy & Theology,Electrical & Electronic Engineering,Civil Engineering,Chemistry,Economics & Econometrics,Computer Science,Physics & Astronomy,Other Health,Biological Sciences,Law,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Veterinary Science,Psychology,Archaeology,Sport Science,Education,General Engineering,Mathematics & Statistics,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance;False;False;False
University of Kansas;3770;249;574;478;264;611;public;0;/world-university-rankings/university-kansas;751;United States;23.410;9,5;7%;53:47:00;University of Kansas;Computer Science,History, Philosophy & Theology,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemical Engineering,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Electrical & Electronic Engineering,Sport Science,Business & Management,General Engineering,Communication & Media Studies,Psychology,Biological Sciences,Sociology,Accounting & Finance,Architecture,Agriculture & Forestry,Geography,Medicine & Dentistry,Mathematics & Statistics,Education,Physics & Astronomy;False;False;False
University of Milan;3820;623;420;169;443;884;master_account;0;/world-university-rankings/university-milan;704;Italy;50.995;21,8;7%;60:40:00;University of Milan;Agriculture & Forestry,Communication & Media Studies,Other Health,Sport Science,Law,Chemical Engineering,Sociology,Archaeology,Mathematics & Statistics,Economics & Econometrics,Medicine & Dentistry,Geography,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Computer Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemistry,Business & Management,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance,Art, Performing Arts & Design,Veterinary Science,Psychology;False;False;False
University of Saskatchewan;3890;339;348;710;110;265;master_account;0;/world-university-rankings/university-saskatchewan;131576;Canada;17.924;18,1;21%;56:44:00;University of Saskatchewan;Geography,Other Health,Politics & International Studies (incl Development Studies),Veterinary Science,Civil Engineering,Languages, Literature & Linguistics,Education,Agriculture & Forestry,Mechanical & Aerospace Engineering,General Engineering,Accounting & Finance,Mathematics & Statistics,Sport Science,Business & Management,Art, Performing Arts & Design,Archaeology,Law,Physics & Astronomy,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science,Economics & Econometrics,Psychology,Electrical & Electronic Engineering,Sociology,Biological Sciences,Chemical Engineering,History, Philosophy & Theology;False;False;False
University of Trento;3970;732;355;312;543;561;master_account;0;/world-university-rankings/university-trento;763;Italy;14.100;18,4;7%;51:49:00;University of Trento;Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Psychology,Sociology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Law,Architecture,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Computer Science,Agriculture & Forestry,Sport Science,Archaeology,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,Business & Management,Electrical & Electronic Engineering,Languages, Literature & Linguistics;False;False;False
